,E (eV),I (erg/s/cm**2)
0,6.802851988,0.0006172736601560223
1,7.042754045265218,0.0006368170923360911
2,7.2911162302986705,0.0006563164943931975
3,7.548236888881904,0.0006747802489251029
4,7.814424887910474,0.0006930187707817389
5,8.0899999864351,0.000710040829002319
6,8.375293219832324,0.0007253541998735351
7,8.670647297390389,0.0007383207525405598
8,8.976417013977027,0.0007481703696623602
9,9.292969676346978,0.0007540124985893559
10,9.620685544252527,0.0007546818603358956
11,9.95995828726861,0.0007453858614641939
12,10.311195457727088,0.0007005826936939926
13,10.674818980263586,0.0006722177965244547
14,11.051265658616357,0.0006319724541790283
15,11.440987700425495,0.0005777536271195274
16,11.844453260345427,0.0005072686209421413
17,12.26214700251832,0.00041804416924330596
18,12.694570682694135,0.0003074474835316502
19,13.142243751017716,0.00017271962816263576
20,13.605703976,3.1259147858550448e-06
21,14.085508090503225,2.885596259293141e-06
22,14.582232460651763,2.7349205593135695e-06
23,15.096473777791019,2.6312051342431142e-06
24,15.62884977584816,2.567257219664216e-06
25,16.17999997284299,2.536693543750072e-06
26,16.750586439610224,2.5339348970474955e-06
27,17.341294594780777,2.5541803522900583e-06
28,17.95283402792684,2.593365267732645e-06
29,18.585939352639535,2.648106841044437e-06
30,19.241371088450634,2.7156404986189016e-06
31,19.91991657459164,2.7937500322125704e-06
32,20.622390915454176,2.8806942552314854e-06
33,21.349637960472748,2.9751330342585148e-06
34,22.102531317205504,3.0760557151067224e-06
35,22.8819754008782,3.182714992266733e-06
36,23.688906520663643,3.2945689536808994e-06
37,24.52429400500943,3.448726603780136e-06
38,25.389141365333845,3.532444132049725e-06
39,26.284487502035432,3.6580316394365016e-06
40,27.211407952,3.787900942334541e-06
41,28.17101618100645,3.922018900356246e-06
42,29.16446492116747,4.060402788134769e-06
43,30.192947555582037,4.203108727883665e-06
44,31.25769955156026,4.350218621578587e-06
45,32.35999994582204,4.5018259068879035e-06
46,33.50117287935651,4.658021817646714e-06
47,34.682589189561554,4.818884536811025e-06
48,35.90566805598974,4.984473165123664e-06
49,37.171878705415125,5.154832456063072e-06
50,38.48274217703732,5.329986894046741e-06
51,39.83983314904722,5.509954401317983e-06
52,41.24478183090835,5.69101568989487e-06
53,42.69927592108156,5.87068208576657e-06
54,44.20506263441101,6.034067555656862e-06
55,45.76395080162035,6.146573300296823e-06
56,47.377813041327286,6.131746978703858e-06
57,49.04858801001886,5.837467726862537e-06
58,50.778282730803745,4.989220829424679e-06
59,52.568975004070865,3.135285707425009e-06
60,54.422815904,1.9226128911288793e-31
61,56.342032362148956,1.4947121795334372e-30
62,58.328929842471,2.850957378130929e-29
63,60.38589511102802,4.834720258101783e-28
64,62.51539910325658,7.20874517229957e-27
65,64.71999989150801,9.425009552742526e-26
66,67.00234575871302,1.0812876169294478e-24
67,69.36517837912311,1.090863935722677e-23
68,71.81133611184343,9.705530653156414e-23
69,74.34375741083025,7.640721255571932e-22
70,76.96548435393859,5.3420383319281545e-21
71,79.67966629809445,3.329975382764868e-20
72,82.4895636618167,1.858355445744785e-19
73,85.39855184202706,9.324601890523172e-19
74,88.41012526895807,4.2252678743253955e-18
75,91.52790160337675,1.7367631077914333e-17
76,94.75562608279063,6.504959952540491e-17
77,98.09717602017378,2.2300907670976694e-16
78,101.55656546147144,7.029398075410064e-16
79,105.13795000814173,2.046213370998985e-15
80,108.845631808,5.524656778093552e-15
81,112.68406472416184,1.3893804216510014e-14
82,116.65785968480594,3.268028733994481e-14
83,120.77179022205604,7.218181763683515e-14
84,125.03079820651315,1.5028377771961647e-13
85,129.43999978301602,2.960315655799176e-13
86,134.00469151742604,5.536541639069071e-13
87,138.73035675879046,9.864649890968113e-13
88,143.62267222395897,1.6798582277008724e-12
89,148.68751482111628,2.7425663179686897e-12
90,153.9309687081493,4.30550717071167e-12
91,159.3593325967331,6.5179211577762006e-12
92,164.97912732390552,9.540995482394908e-12
93,170.79710368350987,1.3539664798389618e-11
94,176.82025053791614,1.8673627866709156e-11
95,183.0558032072977,2.508874383301706e-11
96,189.511252165037,3.290985490596938e-11
97,196.19435204061966,4.2235779179046126e-11
98,203.11313092321498,5.3136821206536314e-11
99,210.27590001628346,6.565475511109462e-11
100,217.691263616,7.980491825690406e-11
101,225.3681294488679,9.557985078121594e-11
102,233.315719369884,1.1295383245811598e-10
103,241.54358044438416,1.3188768535918886e-10
104,250.06159641357056,1.5233329876186466e-10
105,258.8799995654878,1.7423746026261932e-10
106,268.0093830345799,1.9754471702153366e-10
107,277.4607135162203,2.2219912397689328e-10
108,287.24534444791794,2.4814485039963445e-10
109,297.3750296435931,2.7532570727351053e-10
110,307.8619374162986,3.036837259591218e-10
111,318.7186651921057,3.3315696630519856e-10
112,329.95825464781103,3.636767641417981e-10
113,341.5942073683803,3.951646483092994e-10
114,353.6405010758323,4.275291696500426e-10
115,366.1116064132348,4.6066289054354456e-10
116,379.02250433143456,4.944397842513115e-10
117,392.3887040798788,5.287132867461357e-10
118,406.22626184642996,5.633152271689453e-10
119,420.5518000325669,5.980558326841423e-10
120,435.382527232,6.327249560004733e-10
121,450.7362588963753,6.670946068744416e-10
122,466.631438739768,7.009227834047307e-10
123,483.0871608887683,7.339584991570498e-10
124,500.1231928257805,7.65947796856638e-10
125,517.7599991323361,7.966404407284496e-10
126,536.0187660691598,8.257969015742126e-10
127,554.9214270324406,8.531952041991137e-10
128,574.4906888944753,8.786372047827458e-10
129,594.7500592858256,9.019539086853955e-10
130,615.7238748312366,9.230095219431857e-10
131,637.437330385572,9.417040410570255e-10
132,659.9165092942615,9.57974309975248e-10
133,683.1884147367606,9.717935942372007e-10
134,707.2810021516646,9.831698256929831e-10
135,732.2232128264696,9.921427476749809e-10
136,758.0450086628691,9.98780235312912e-10
137,784.7774081611182,1.0031740795547375e-09
138,812.4525236928599,1.005435511164221e-09
139,841.1036000651338,1.0056907085891878e-09
140,870.765054464,1.0040764895837472e-09
141,901.4725177927506,1.0007363367173228e-09
142,933.2628774781754,9.958168581316098e-10
143,966.1743217761763,9.89464740330256e-10
144,1000.246385651561,9.818242125073689e-10
145,1035.5199982646723,9.730350125200809e-10
146,1072.0375321396803,9.632308233846698e-10
147,1109.8428540648813,9.525381352099777e-10
148,1148.9813777903112,9.410754797495381e-10
149,1189.5001185730118,9.289529818226929e-10
150,1231.4477496638337,9.162721728368369e-10
151,1274.8746607697833,9.031260146917423e-10
152,1319.8330185898835,8.895990874929871e-10
153,1366.3768294762424,8.757678999964125e-10
154,1414.5620043087713,8.617012877451543e-10
155,1464.446425647497,8.474608696007025e-10
156,1516.0900173257382,8.33101538936322e-10
157,1569.554816319515,8.186719702422135e-10
158,1624.905047388441,8.042151267258923e-10
159,1682.2072001248252,7.897687575134433e-10
160,1741.530108928,7.753658765623052e-10
161,1802.9450355909432,7.61035217507233e-10
162,1866.5257549617932,7.468016609928897e-10
163,1932.3486435577945,7.3268663235127e-10
164,2000.4927713085644,7.187084687993586e-10
165,2071.0399965239026,7.048827563171702e-10
166,2144.0750642766393,6.91222636851933e-10
167,2219.685708132484,6.777390871376233e-10
168,2297.9627555806223,6.644411706529829e-10
169,2379.000237151466,6.513362644738697e-10
170,2462.8954993303887,6.384302627533672e-10
171,2549.7493215395666,6.257277588045407e-10
172,2639.6660371743246,6.132322075328454e-10
173,2732.753658952485,6.009460700189822e-10
174,2829.124008603937,5.888709419289389e-10
175,2928.8928513086,5.770076673650681e-10
176,3032.1800346514765,5.65356439572818e-10
