,E (eV),I (erg/s/cm**2)
0,0.12373682038306764,6.184849000602714e-06
1,0.12988088554512012,6.906333347249751e-06
2,0.136261450495965,7.713475588164027e-06
3,0.142954334381579,8.617935559714111e-06
4,0.14997495382513726,9.633585733697507e-06
5,0.15734047514334634,1.0761683098971333e-05
6,0.1650702891855128,1.201766165267674e-05
7,0.17316242176398977,1.3411820531277615e-05
8,0.18166196898460565,1.4953307660436677e-05
9,0.19059845386441798,1.6650277236123146e-05
10,0.19994241869374835,1.8511501325488626e-05
11,0.20978729928408152,2.055763533034805e-05
12,0.22006441948402825,2.2775017582934415e-05
13,0.23088322901865302,2.5192544800061843e-05
14,0.24225145320667346,2.781682316640261e-05
15,0.25411824889290163,3.063107941784048e-05
16,0.2666328896979398,3.3662703696966777e-05
17,0.279684849685539,3.688271799027754e-05
18,0.2934539500028684,4.025890525247912e-05
19,0.30788252831590723,4.377259927181546e-05
20,0.32295987013277455,4.744705780698255e-05
21,0.33884748332308773,5.127407732908542e-05
22,0.3554595580724406,5.520270057975029e-05
23,0.3728850947328217,5.926850744378716e-05
24,0.39124106698359445,6.347001520532658e-05
25,0.4104081228683404,6.777659442763347e-05
26,0.430650551826223,7.215326974853804e-05
27,0.45183780576702226,7.654056866415778e-05
28,0.47394607742992073,8.100572379598447e-05
29,0.49732969880299527,8.569752683310274e-05
30,0.5215998909768427,9.022833068818623e-05
31,0.5473920267214383,9.427413485949583e-05
32,0.5742672254830576,9.780338693979829e-05
33,0.6024504072358395,0.00010108389114781537
34,0.6319281036934179,0.00010403295095175939
35,0.6630176148387874,0.00010665304285879859
36,0.6957592258008507,0.00010876986756102603
37,0.7297486403648201,0.00011024747746912408
38,0.7653351482448788,0.00011125180776972583
39,0.8030070853681331,0.00011211639883711391
40,0.8428571990974468,0.00011301918594348843
41,0.8837084382127298,0.0001137710359905317
42,0.9273320408775417,0.00011425898742215103
43,0.9731891205322233,0.00011432029638978426
44,1.0204468638729816,0.00011385636507885227
45,1.070676113370654,0.00011305171876397545
46,1.1230461401152967,0.00011175659227888508
47,1.178557926632987,0.00010997525974035743
48,1.236134535194631,0.00010757293063168008
49,1.2973139477748237,0.00010493427958263579
50,1.3609691984709518,0.00010185373398072985
51,1.4278969706398996,9.874915243063441e-05
52,1.497937585018665,9.553673681559896e-05
53,1.571609759071332,9.22128059852592e-05
54,1.6487273123446937,8.877216195763788e-05
55,1.7296916008609082,8.551070288261611e-05
56,1.8147584009701614,8.254767823675221e-05
57,1.9039357182686723,7.937260602210454e-05
58,1.997169683692689,7.615929893789184e-05
59,2.0953911437248633,7.30922345078864e-05
60,2.1983030844868283,7.006922343271555e-05
61,2.3062554678145446,6.715419509958e-05
62,2.419677867960215,6.450151692824883e-05
63,2.5385809572380396,6.205564773947375e-05
64,2.662892911136729,5.950337150316207e-05
65,2.7936974743190754,5.704438404928091e-05
66,2.931070778862248,5.490648393490442e-05
67,3.075007289965869,5.2772186005832104e-05
68,3.22623715637324,5.09757799116558e-05
69,3.3847746096507194,4.940796879938721e-05
70,3.5505238819691614,4.7943610376721176e-05
71,3.72548960101699,4.644608571387099e-05
72,3.9087104013569633,4.488225131531637e-05
73,4.100009720408016,4.332900448091391e-05
74,4.302022690507662,4.181683735244664e-05
75,4.513443535509925,4.0333627680073575e-05
76,4.7340318412649784,3.875190108381979e-05
77,4.9673194689297,3.705423363407435e-05
78,5.211613868929474,3.521853292248667e-05
79,5.466679627210687,3.322139504020264e-05
80,5.734703697419032,3.1068949813579304e-05
81,6.015734785253603,2.8899131957269705e-05
82,6.312845923994953,2.670107040205884e-05
83,6.623092624332553,2.44915151767072e-05
84,6.945898819399489,2.2266151468807108e-05
85,7.288906169160725,2.0076796398257466e-05
86,7.648630100444126,1.7965007340844205e-05
87,8.024873394488845,1.6017756900642564e-05
88,8.417127897299366,1.4122922483389987e-05
89,8.830790165776738,1.2310826801528257e-05
90,9.266389680857458,1.0598012351384295e-05
91,9.716637456029325,8.869112707778278e-06
92,10.196076803785866,7.615163349555601e-06
93,10.197096411160116,5.670114931486671e-06
94,10.697523203570578,4.573425210033001e-06
95,11.220298094027351,3.361255366119385e-06
96,11.277348208104517,3.168281176286681e-06
97,11.33249492093084,3.044167698770783e-06
98,11.387556042994593,2.9244727746407963e-06
99,11.442732384962467,2.8090129818015304e-06
100,11.497806231080576,2.6975928905122153e-06
101,11.552982159435048,2.5906891115598316e-06
102,11.60803808003817,2.4922087206439487e-06
103,11.66318237649147,2.4033658597004455e-06
104,11.718299302350081,2.315075245237006e-06
105,11.774386889062887,2.227468982043715e-06
